height(km) press(hPa) W(M/S) T(C) T-TE(C) QV(g/kg) SAT(g/kg) QC(g/kg) QH(g/kg) QI(g/kg) "Buoy(1e-2 m/s2)" radius(m) dwdt_entr(unitless) plumeT(K) envT(K)
17.5500 76.1261 0.0000 -56.8584 0.0000 0.0044 0.2204 0.0000 0.0000 0.0000 0.0000 2.5981 0.0000 216.4416 216.4416
17.6500 75.0559 0.0000 -56.7556 0.0000 0.0045 0.2264 0.0000 0.0000 0.0000 0.0000 2.6041 0.0000 216.5444 216.5444
17.7500 74.0070 0.0000 -56.6507 0.0000 0.0047 0.2327 0.0000 0.0000 0.0000 0.0000 2.6101 0.0000 216.6493 216.6493
17.8500 72.9580 0.0000 -56.5458 0.0000 0.0048 0.2392 0.0000 0.0000 0.0000 0.0000 2.6161 0.0000 216.7542 216.7542
17.9500 71.9091 0.0000 -56.4409 0.0000 0.0049 0.2459 0.0000 0.0000 0.0000 0.0000 2.6221 0.0000 216.8591 216.8591
18.0500 70.8601 0.0000 -56.3360 0.0000 0.0051 0.2528 0.0000 0.0000 0.0000 0.0000 2.6281 0.0000 216.9640 216.9640
18.1500 69.5263 0.0000 -56.2026 0.0000 0.0052 0.2620 0.0000 0.0000 0.0000 0.0000 2.6341 0.0000 217.0974 217.0974
18.2500 68.1919 0.0000 -56.0692 0.0000 0.0054 0.2716 0.0000 0.0000 0.0000 0.0000 2.6401 0.0000 217.2308 217.2308
18.3500 67.2703 0.0000 -56.2446 0.0000 0.0054 0.2693 0.0000 0.0000 0.0000 0.0000 2.6461 0.0000 217.0554 217.0554
18.4500 66.3694 0.0000 -56.4848 0.0000 0.0053 0.2649 0.0000 0.0000 0.0000 0.0000 2.6521 0.0000 216.8152 216.8152
18.5500 65.4685 0.0000 -56.7251 0.0000 0.0052 0.2606 0.0000 0.0000 0.0000 0.0000 2.6581 0.0000 216.5749 216.5749
18.6500 64.4974 0.0000 -56.6741 0.0000 0.0053 0.2662 0.0000 0.0000 0.0000 0.0000 2.6641 0.0000 216.6259 216.6259
18.7500 63.4503 0.0000 -56.3076 0.0000 0.0057 0.2833 0.0000 0.0000 0.0000 0.0000 2.6701 0.0000 216.9924 216.9924
18.8500 62.4031 0.0000 -55.9411 0.0000 0.0060 0.3016 0.0000 0.0000 0.0000 0.0000 2.6761 0.0000 217.3589 217.3589
18.9500 61.3560 0.0000 -55.5746 0.0000 0.0064 0.3210 0.0000 0.0000 0.0000 0.0000 2.6821 0.0000 217.7254 217.7254
19.0500 60.2205 0.0000 -55.6059 0.0000 0.0065 0.3258 0.0000 0.0000 0.0000 0.0000 2.6881 0.0000 217.6941 217.6941
19.1500 59.0394 0.0000 -55.8421 0.0000 0.0065 0.3227 0.0000 0.0000 0.0000 0.0000 2.6941 0.0000 217.4579 217.4579
19.2500 57.9205 0.0000 -56.0182 0.0000 0.0064 0.3218 0.0000 0.0000 0.0000 0.0000 2.7001 0.0000 217.2818 217.2818
19.3500 57.2583 0.0000 -55.7533 0.0000 0.0067 0.3364 0.0000 0.0000 0.0000 0.0000 2.7061 0.0000 217.5467 217.5467
19.4500 56.4000 0.0000 -55.5100 0.0000 0.0070 0.3520 0.0000 0.0000 0.0000 0.0000 2.7121 0.0000 217.7900 217.7900
19.5500 55.4164 0.0000 -55.2805 0.0000 0.0074 0.3686 0.0000 0.0000 0.0000 0.0000 2.7181 0.0000 218.0195 218.0195
19.6500 54.4328 0.0000 -55.0510 0.0000 0.0077 0.3860 0.0000 0.0000 0.0000 0.0000 2.7241 0.0000 218.2490 218.2490
19.7500 53.6316 0.0000 -54.8210 0.0000 0.0081 0.4031 0.0000 0.0000 0.0000 0.0000 2.7301 0.0000 218.4789 218.4789
19.8500 52.9737 0.0000 -54.5908 0.0000 0.0084 0.4198 0.0000 0.0000 0.0000 0.0000 2.7361 0.0000 218.7092 218.7092
