height(km) press(hPa) W(M/S) T(C) T-TE(C) QV(g/kg) SAT(g/kg) QC(g/kg) QH(g/kg) QI(g/kg) "Buoy(1e-2 m/s2)" radius(m) dwdt_entr(unitless) plumeT(K) envT(K)
3.9500 579.5001 9.8685 -2.4398 1.0602 5.7136 5.5902 0.8896 0.0000 0.0000 3.0617 2.1243 -0.0157 270.8602 269.8000
4.0500 572.4246 10.0525 -3.0479 1.3483 5.5248 5.4075 1.0320 0.0000 0.0000 3.3603 2.1424 -0.0150 270.2521 268.9038
4.1500 564.9319 10.2494 -3.6645 1.3923 5.3435 5.2308 1.1704 0.0000 0.0000 3.3866 2.1583 -0.0138 269.6355 268.2432
4.2500 558.0802 10.4376 -4.2878 1.4113 5.1637 5.0512 1.3044 0.0000 0.0000 3.1981 2.1739 -0.0129 269.0122 267.6010
4.3500 551.0048 10.5816 -4.9254 1.1511 4.9825 4.8740 1.4294 0.0000 0.0000 2.7884 2.1891 -0.0129 268.3746 267.2236
4.4500 543.9314 10.7100 -5.5790 0.8788 4.8007 4.6967 1.5452 0.0000 0.0000 2.6939 2.2042 -0.0129 267.7210 266.8422
4.5500 537.0687 10.8585 -6.2419 1.0002 4.6229 4.5204 1.6573 0.0000 0.0000 2.9258 2.2189 -0.0129 267.0581 266.0579
4.6500 530.2059 11.0211 -6.9118 1.1147 4.4481 4.3479 1.7661 0.0000 0.0000 3.1022 2.2336 -0.0129 266.3882 265.2735
4.7500 523.4790 11.1925 -7.5848 1.2260 4.2783 4.1793 1.8739 0.0000 0.0000 3.2298 2.2477 -0.0129 265.7152 264.4892
4.8500 516.7563 11.3741 -8.2616 1.3335 4.1130 4.0155 1.9800 0.0000 0.0000 3.3520 2.2616 -0.0128 265.0384 263.7049
4.9500 510.0336 11.5592 -8.9436 1.4358 3.9519 3.8560 2.0835 0.0000 0.0000 3.4207 2.2754 -0.0129 264.3564 262.9206
5.0500 503.3913 11.7381 -9.6314 1.4794 3.7944 3.7000 2.1837 0.0000 0.0000 3.4030 2.2892 -0.0132 263.6685 262.1891
5.1500 496.7519 11.9089 -10.3273 1.4836 3.6397 3.5476 2.2791 0.0000 0.0000 3.3861 2.3034 -0.0137 262.9727 261.4891
5.2500 489.9850 12.0711 -11.0339 1.5288 3.4883 3.3988 2.3679 0.0000 0.0000 3.3976 2.3184 -0.0148 262.2661 260.7372
5.3500 483.2181 12.2169 -11.7491 1.5656 3.3402 3.2536 2.4511 0.0000 0.0000 3.3503 2.3342 -0.0162 261.5509 259.9854
5.4500 477.7500 12.3443 -12.4585 1.6165 3.1953 3.1070 2.5360 0.0000 0.0000 3.1817 2.3500 -0.0169 260.8415 259.2250
5.5500 471.5000 12.4400 -13.1735 1.5265 3.0538 2.9699 2.6176 0.0000 0.0000 2.7582 2.3656 -0.0169 260.1265 258.6000
5.6500 464.6263 12.4878 -13.8947 1.3391 2.9201 2.8407 2.7079 0.0000 0.0000 2.0569 2.3809 -0.0168 259.4052 258.0661
5.7500 459.1819 12.4540 -14.6065 1.1041 2.7901 2.7104 2.7704 0.0000 0.0000 0.9479 2.3960 -0.0164 258.6935 257.5894
5.8500 453.0504 12.3167 -15.3120 0.6355 2.6670 2.5907 2.8457 0.0000 0.0000 -0.2907 2.4112 -0.0160 257.9880 257.3525
5.9500 446.7610 12.1017 -16.0200 0.2420 2.5476 2.4763 2.9144 0.0000 0.0000 -1.0906 2.4272 -0.0160 257.2800 257.0380
6.0500 441.3174 11.8508 -16.7291 0.0523 2.4302 2.3617 2.9802 0.0000 0.0000 -1.3881 2.4435 -0.0160 256.5709 256.5186
6.1500 435.4855 11.5947 -17.4451 0.0566 2.3166 2.2526 3.0427 0.0000 0.0000 -1.4452 2.4597 -0.0154 255.8548 255.7982
6.2500 429.6536 11.3338 -18.1687 0.0535 2.2067 2.1467 3.1017 0.0000 0.0000 -1.5181 2.4759 -0.0146 255.1313 255.0778
6.3500 423.8217 11.0654 -18.8991 0.0435 2.1004 2.0441 3.1569 0.0000 0.0000 -1.6059 2.4922 -0.0139 254.4009 254.3574
6.4500 417.9897 10.7864 -19.6364 0.0267 1.9975 1.9449 3.2082 0.0000 0.0000 -1.7081 2.5088 -0.0133 253.6636 253.6370
6.5500 412.1578 10.4947 -20.3802 0.0032 1.8981 1.8489 3.2553 0.0000 0.0000 -1.8236 2.5257 -0.0128 252.9198 252.9165
6.6500 406.7693 10.1824 -21.1292 -0.0269 1.8007 1.7546 3.2964 0.0000 0.0000 -1.9511 2.5439 -0.0126 252.1708 252.1977
6.7500 401.6411 9.8494 -21.8839 -0.0636 1.7056 1.6628 3.3301 0.0000 0.0000 -2.0069 2.5639 -0.0130 251.4161 251.4797
6.8500 396.2909 9.5017 -22.6481 -0.0417 1.6138 1.5748 3.3529 0.0000 0.0000 -1.9518 2.5866 -0.0137 250.6519 250.6936
6.9500 390.7672 9.1449 -23.4219 0.0035 1.5259 1.4904 3.3693 0.0000 0.0000 -1.8707 2.6104 -0.0139 249.8781 249.8746
7.0500 385.1935 8.7902 -24.2036 0.0415 1.4419 1.4093 3.3835 0.0000 0.0000 -1.8052 2.6341 -0.0131 249.0964 249.0549
7.1500 379.6197 8.4434 -24.9925 0.0722 1.3612 1.3313 3.3956 0.0000 0.0000 -1.7389 2.6576 -0.0119 248.3074 248.2352
7.2500 374.4272 8.1016 -25.7881 0.1079 1.2828 1.2552 3.4020 0.0000 0.0000 -1.6560 2.6828 -0.0112 247.5119 247.4040
7.3500 369.5728 7.7551 -26.5910 0.1464 1.2065 1.1812 3.3989 0.0000 0.0000 -1.5730 2.7111 -0.0112 246.7090 246.5626
7.4500 364.7184 7.3964 -27.4024 0.1764 1.1330 1.1102 3.3854 0.0000 0.0000 -1.5116 2.7426 -0.0115 245.8976 245.7212
7.5500 359.8000 7.0193 -28.2216 0.1951 1.0629 1.0425 3.3623 0.0000 0.0000 -1.4747 2.7775 -0.0115 245.0784 244.8833
7.6500 354.8000 6.5869 -29.0446 0.2053 0.9966 0.9784 3.3293 0.0000 0.0000 -1.4351 2.8159 -0.0111 244.2553 244.0500
7.7500 349.8000 5.9317 -29.8635 0.2198 0.9341 0.9183 3.2768 0.0000 0.0000 -1.3306 2.8617 -0.0101 243.4365 243.2167
7.8500 344.8846 4.7295 -30.6752 0.2555 0.8747 0.8618 3.1569 0.0000 0.0000 -1.1856 2.9316 -0.0081 242.6247 242.3692
7.9500 340.0100 2.9734 -31.5184 0.2301 0.8151 0.8060 2.8372 0.0000 0.0000 -1.1365 3.0669 -0.0049 241.7816 241.5515
8.0500 335.0349 1.3229 -32.4315 0.0633 0.7451 0.7485 2.2067 0.0000 0.0000 -1.0453 3.2943 -0.0019 240.8685 240.8052
8.1500 330.2418 0.3565 -33.2806 -0.0269 0.6264 0.6987 1.4680 0.0000 0.0000 -0.7876 3.5529 -0.0004 240.0194 240.0463
8.2500 325.7336 0.0041 -34.0823 -0.0499 0.5032 0.6545 0.8765 0.0000 0.0000 -0.5571 3.7575 -0.0000 239.2177 239.2676
8.3500 321.2254 -0.0329 -34.8853 -0.0742 0.4063 0.6126 0.4971 0.0000 0.0000 -0.2636 3.8911 -0.0000 238.4147 238.4889
8.4500 316.5088 0.0250 -35.7124 0.0359 0.3356 0.5723 0.2753 0.0000 0.0000 0.0833 3.9754 -0.0000 237.5876 237.5517
8.5500 312.1012 0.0656 -36.5233 0.1064 0.2822 0.5346 0.1493 0.0000 0.0000 0.2842 4.0307 -0.0001 236.7766 236.6702
8.6500 307.6068 0.0614 -37.2651 0.1243 0.2395 0.5029 0.0788 0.0000 0.0000 0.2450 4.0657 -0.0001 236.0349 235.9107
8.7500 303.1579 0.0387 -37.9051 0.0397 0.2074 0.4779 0.0403 0.0000 0.0000 0.1757 4.0846 -0.0000 235.3949 235.3553
8.8500 298.7826 0.0057 -38.4992 0.0726 0.1845 0.4560 0.0199 0.0000 0.0000 0.0464 4.0867 -0.0000 234.8008 234.7283
8.9500 294.4615 -0.0359 -39.0142 -0.0411 0.1671 0.4386 0.0093 0.0000 0.0000 -0.2829 4.0716 -0.0000 234.2858 234.3269
9.0500 290.2371 -0.0391 -39.5813 -0.1601 0.1523 0.4194 0.0040 0.0000 0.0000 -0.2909 4.0424 -0.0000 233.7187 233.8788
9.1500 286.2214 -0.0172 -40.3707 -0.0484 0.1394 0.3914 0.0015 0.0000 0.0000 -0.0861 3.9987 -0.0000 232.9293 232.9777
9.2500 282.2057 -0.0057 -41.2372 -0.0138 0.1279 0.3621 0.0005 0.0000 0.0000 -0.0232 3.9400 -0.0000 232.0628 232.0766
9.3500 278.1900 -0.0015 -42.1281 -0.0037 0.1175 0.3340 0.0002 0.0000 0.0000 -0.0051 3.8648 -0.0000 231.1719 231.1756
9.4500 274.1743 -0.0003 -43.0264 -0.0009 0.1079 0.3075 0.0000 0.0000 0.0000 -0.0003 3.7707 -0.0000 230.2736 230.2745
9.5500 270.1587 0.0000 -43.9268 -0.0002 0.0991 0.2829 0.0000 0.0000 0.0000 0.0007 3.6544 -0.0000 229.3732 229.3734
9.6500 266.1430 0.0001 -44.8277 -0.0000 0.0908 0.2601 0.0000 0.0000 0.0000 0.0009 3.5107 -0.0000 228.4723 228.4723
9.7500 262.1273 0.0001 -45.7287 0.0000 0.0832 0.2390 0.0000 0.0000 0.0000 0.0012 3.3301 -0.0000 227.5713 227.5712
9.8500 258.1117 0.0002 -46.6295 0.0003 0.0760 0.2194 0.0000 0.0000 0.0000 0.0044 3.0945 -0.0000 226.6705 226.6702
9.9500 254.0960 0.0009 -47.5284 0.0025 0.0692 0.2013 0.0000 0.0000 0.0000 0.0249 2.7911 -0.0000 225.7715 225.7691
10.0500 250.0803 0.0000 -48.4173 0.0147 0.0627 0.1848 0.0000 0.0000 0.0000 0.0000 2.4684 -0.0000 224.8827 224.8680
10.1500 246.3704 0.0000 -49.2537 0.0000 0.0562 0.1703 0.0000 0.0000 0.0000 0.0000 2.1541 0.0000 224.0463 224.0463
10.2500 242.6667 0.0000 -50.0738 0.0000 0.0502 0.1572 0.0000 0.0000 0.0000 0.0000 2.1601 0.0000 223.2262 223.2262
10.3500 238.9630 0.0000 -50.8939 0.0000 0.0447 0.1450 0.0000 0.0000 0.0000 0.0000 2.1661 0.0000 222.4061 222.4061
10.4500 235.2857 0.0000 -51.7167 0.0000 0.0398 0.1336 0.0000 0.0000 0.0000 0.0000 2.1721 0.0000 221.5833 221.5833
10.5500 231.0000 0.0000 -52.3500 0.0000 0.0341 0.1262 0.0000 0.0000 0.0000 0.0000 2.1781 0.0000 220.9500 220.9500
10.6500 227.7626 0.0000 -52.6737 0.0000 0.0288 0.1231 0.0000 0.0000 0.0000 0.0000 2.1841 0.0000 220.6263 220.6263
10.7500 224.5252 0.0000 -52.9975 0.0000 0.0238 0.1201 0.0000 0.0000 0.0000 0.0000 2.1901 0.0000 220.3025 220.3025
10.8500 221.2500 0.0000 -53.0500 0.0000 0.0188 0.1211 0.0000 0.0000 0.0000 0.0000 2.1961 0.0000 220.2500 220.2500
10.9500 217.8714 0.0000 -52.6757 0.0000 0.0129 0.1287 0.0000 0.0000 0.0000 0.0000 2.2021 0.0000 220.6243 220.6243
11.0500 214.5519 0.0000 -53.3396 0.0000 0.0086 0.1206 0.0000 0.0000 0.0000 0.0000 2.2081 0.0000 219.9604 219.9604
11.1500 211.2324 0.0000 -54.0035 0.0000 0.0048 0.1130 0.0000 0.0000 0.0000 0.0000 2.2141 0.0000 219.2965 219.2965
11.2500 208.0214 0.0000 -53.9838 0.0000 0.0046 0.1151 0.0000 0.0000 0.0000 0.0000 2.2201 0.0000 219.3162 219.3162
11.3500 204.8185 0.0000 -53.9126 0.0000 0.0047 0.1179 0.0000 0.0000 0.0000 0.0000 2.2261 0.0000 219.3874 219.3874
11.4500 201.5385 0.0000 -53.9423 0.0000 0.0048 0.1194 0.0000 0.0000 0.0000 0.0000 2.2321 0.0000 219.3577 219.3577
11.5500 198.5198 0.0000 -54.7460 0.0000 0.0044 0.1098 0.0000 0.0000 0.0000 0.0000 2.2381 0.0000 218.5540 218.5540
11.6500 195.4361 0.0000 -55.3628 0.0000 0.0041 0.1034 0.0000 0.0000 0.0000 0.0000 2.2441 0.0000 217.9372 217.9372
