  18050      79   -56.9     2.0   -84.9   282.0     9.8   445.8     0.0
  18288      76   -56.7     2.0   -84.7   290.0     9.3   451.1     0.0
  18860      70   -56.1     2.0   -84.1   260.0     3.1   464.0     0.0
  18898      69   -56.0     2.0   -84.0   255.0     4.6   464.9     0.0
  18997      68   -55.9     2.0   -83.9   255.0     5.1   467.3     0.0
  19330      65   -56.7     2.0   -84.7   257.0     5.7   472.6     0.0
  19712      61   -55.3     2.0   -83.3   258.0     7.2   483.9     0.0
  19966      58   -55.9     2.0   -82.9   259.0     7.7   488.2     0.0
  20117      57   -55.5     2.0   -82.7   260.0     8.2   492.3     0.0
  20422      54   -54.8     2.0   -82.3   300.0     4.1   500.7     0.0
  20726      52   -54.1     2.0   -81.9   215.0     3.1   509.2     0.0
  21000      50   -53.5     2.0   -81.5   180.0     1.5   517.0     0.0
